../data/final/netrd/SIS/timeseries_bull_200_0.2_dontdie.pickle
../data/final/netrd/SIS/edges_bull.pickle
SEED: 0
NUM_RUNS: 1
BATCH_SIZE: 100
NUM_DYN_EPOCHS: 1000
FORMAT: timeseries
HIDDEN_SIZE: 128
USE_TESTSET: True
tensor([[0., 1., 1., 0., 0.],
        [1., 0., 1., 1., 0.],
        [1., 1., 0., 0., 1.],
        [0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 0.]])
num samples: 200
NUM_TRAIN_SAMPLES: 159
NUM_TRAIN_BATCHES: 2
NUM_TEST_SAMPLES: 40
NUM_TEST_BATCHES: 1
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 1000
IS_CONTINUOUS: False
USE_MAX: False
evaluating: matrix 210, run 0. Mean loss in evaluation epoch: 0.4787824749946594, epochs needed: 1000
evaluating: matrix 211, run 0. Mean loss in evaluation epoch: 0.48544394969940186, epochs needed: 1000
evaluating: matrix 212, run 0. Mean loss in evaluation epoch: 0.47547152638435364, epochs needed: 1000
evaluating: matrix 213, run 0. Mean loss in evaluation epoch: 0.4896365702152252, epochs needed: 1000
evaluating: matrix 214, run 0. Mean loss in evaluation epoch: 0.4915732443332672, epochs needed: 1000
evaluating: matrix 215, run 0. Mean loss in evaluation epoch: 0.5019927024841309, epochs needed: 1000
evaluating: matrix 216, run 0. Mean loss in evaluation epoch: 0.4532008469104767, epochs needed: 1000
evaluating: matrix 217, run 0. Mean loss in evaluation epoch: 0.4767531156539917, epochs needed: 1000
evaluating: matrix 218, run 0. Mean loss in evaluation epoch: 0.4616726338863373, epochs needed: 1000
evaluating: matrix 219, run 0. Mean loss in evaluation epoch: 0.4878356456756592, epochs needed: 1000
evaluating: matrix 220, run 0. Mean loss in evaluation epoch: 0.46485015749931335, epochs needed: 1000
