../data/final/cml/timeseries_bull_5k_4_onetake.pickle
../data/final/cml/edges_bull.pickle
SEED: 0
NUM_RUNS: 1
BATCH_SIZE: 100
NUM_DYN_EPOCHS: 10
FORMAT: standard
HIDDEN_SIZE: 128
tensor([[0., 1., 1., 0., 0.],
        [1., 0., 1., 1., 0.],
        [1., 1., 0., 0., 1.],
        [0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 0.]])
num samples: 4991
NUM_SAMPLES: 4991
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 10
IS_CONTINUOUS: True
NUM_BATCHES: 50
USE_MAX: False
evaluating: matrix 224, run 0. Mean loss in evaluation epoch: 0.16310156881809235, epochs needed: 10
evaluating: matrix 225, run 0. Mean loss in evaluation epoch: 0.17718616127967834, epochs needed: 10
evaluating: matrix 226, run 0. Mean loss in evaluation epoch: 0.16269691288471222, epochs needed: 10
evaluating: matrix 227, run 0. Mean loss in evaluation epoch: 0.16977019608020782, epochs needed: 10
evaluating: matrix 228, run 0. Mean loss in evaluation epoch: 0.1685681939125061, epochs needed: 10
evaluating: matrix 229, run 0. Mean loss in evaluation epoch: 0.17551851272583008, epochs needed: 10
evaluating: matrix 230, run 0. Mean loss in evaluation epoch: 0.14541849493980408, epochs needed: 10
evaluating: matrix 231, run 0. Mean loss in evaluation epoch: 0.16433092951774597, epochs needed: 10
evaluating: matrix 232, run 0. Mean loss in evaluation epoch: 0.17058739066123962, epochs needed: 10
evaluating: matrix 233, run 0. Mean loss in evaluation epoch: 0.17396335303783417, epochs needed: 10
evaluating: matrix 234, run 0. Mean loss in evaluation epoch: 0.1578071266412735, epochs needed: 10
evaluating: matrix 235, run 0. Mean loss in evaluation epoch: 0.19652274250984192, epochs needed: 10
evaluating: matrix 236, run 0. Mean loss in evaluation epoch: 0.14568683505058289, epochs needed: 10
evaluating: matrix 237, run 0. Mean loss in evaluation epoch: 0.18447864055633545, epochs needed: 10
